B. ID,L0,L1,L2,L3,L4,L5,L6,L7,L8
1000,0,1,1,1,1,1,1,1,0
1001,1,1,0,0,0,0,1,0,1
100,0,1,1,0,1,1,1,1,0
1006,0,1,1,0,1,1,1,0,0
1010,1,0,0,0,0,0,1,0,1
101,0,1,1,1,1,1,1,0,0
1011,0,0,1,1,0,1,1,0,0
1012,0,1,1,1,0,1,1,0,0
1014,0,1,1,0,1,1,1,0,0
1015,0,1,0,0,0,1,1,1,0
1017,0,0,0,0,0,1,1,0,1
1022,1,0,1,1,0,1,0,0,1
1024,1,1,1,1,1,1,1,0,0
1026,0,1,1,0,1,1,1,1,0
1029,0,1,1,1,0,1,1,1,0
1030,1,0,0,1,0,1,0,0,1
103,0,1,1,1,1,1,1,1,0
1031,0,0,0,0,0,0,1,0,1
1032,0,1,1,1,0,1,1,1,0
1035,0,0,0,0,0,1,1,0,1
1036,0,1,1,0,1,1,1,1,0
1038,0,1,1,0,1,1,1,1,0
1039,1,0,0,0,0,0,0,0,1
1040,1,0,1,0,0,0,1,1,1
1041,1,0,0,0,0,0,0,0,1
1043,1,0,0,0,0,0,1,0,1
104,1,1,0,0,0,0,1,0,1
1044,1,0,0,0,0,0,0,0,1
1046,1,0,0,0,0,0,1,0,1
1048,1,1,1,1,0,1,1,0,0
1052,1,0,0,1,0,0,0,0,1
105,0,0,1,1,0,1,1,0,0
1054,0,0,0,0,0,0,1,0,1
1055,0,0,0,1,0,1,1,0,0
1056,0,0,0,0,0,0,0,0,1
1057,1,0,0,1,0,0,0,0,1
1059,0,1,1,1,0,1,1,1,0
1061,1,0,0,0,0,0,0,0,1
1063,0,0,0,0,0,0,1,0,1
1064,0,0,0,0,0,0,1,0,1
1065,0,1,1,0,0,1,1,0,0
1067,0,1,1,0,0,1,1,1,1
1069,0,0,0,1,0,0,0,0,1
1070,0,1,1,0,0,1,1,0,1
1073,1,1,1,1,0,1,1,1,0
1074,0,1,1,0,1,1,1,1,0
1075,1,0,1,1,0,1,1,0,1
